State,Substate Region,12-17 Estimate,"12-17 
95% CI (Lower)","12-17 
95% CI (Upper)",18-25 Estimate,"18-25 
95% CI (Lower)","18-25 
95% CI (Upper)",26 or Older Estimate,26 or Older 95% CI (Lower),26 or Older 95% CI (Upper),18 or Older Estimate,18 or Older 95% CI (Lower),18 or Older 95% CI (Upper)
Illinois,Region 1.4 (West Side),*,*,*,3.72%,2.14%,6.41%,2.72%,1.56%,4.68%,2.88%,1.72%,4.78%
Illinois,Region 1.5 (South Side),*,*,*,3.38%,1.92%,5.89%,2.62%,1.39%,4.90%,2.73%,1.53%,4.85%
Illinois,Region 1.6 (Southwest Side),*,*,*,3.08%,1.69%,5.54%,1.72%,0.90%,3.25%,1.94%,1.08%,3.47%
Illinois,Region 1.7 (Suburban Cook),0.43%,0.25%,0.75%,4.30%,2.84%,6.46%,1.06%,0.64%,1.73%,1.47%,0.98%,2.22%
Illinois,Region 2,0.67%,0.44%,1.02%,4.89%,3.67%,6.50%,1.08%,0.77%,1.53%,1.63%,1.24%,2.13%
Illinois,Region 2a (DuPage),0.67%,0.39%,1.15%,5.37%,3.28%,8.66%,1.07%,0.63%,1.80%,1.64%,1.05%,2.56%
Illinois,Region 2b,0.68%,0.42%,1.12%,4.90%,3.28%,7.26%,1.07%,0.68%,1.71%,1.63%,1.12%,2.37%
Illinois,Region 2c (Winnebago),*,*,*,*,*,*,1.19%,0.63%,2.25%,1.57%,0.89%,2.75%
Illinois,Region 2d,*,*,*,4.63%,2.74%,7.73%,1.07%,0.60%,1.91%,1.61%,0.98%,2.64%
Illinois,Region 3,0.65%,0.39%,1.07%,5.98%,4.21%,8.42%,1.16%,0.74%,1.80%,1.95%,1.39%,2.74%
Illinois,Region 3a (Champaign),*,*,*,6.65%,4.08%,10.66%,*,*,*,3.13%,1.98%,4.92%
Illinois,Region 3b,0.66%,0.39%,1.13%,5.76%,3.76%,8.72%,1.07%,0.64%,1.78%,1.75%,1.17%,2.62%
Illinois,Region 4,0.70%,0.41%,1.18%,4.84%,3.04%,7.62%,1.05%,0.65%,1.68%,1.56%,1.03%,2.36%
Illinois,Region 4a (Sangamon),*,*,*,*,*,*,*,*,*,1.66%,0.97%,2.82%
Illinois,Region 4b,0.75%,0.42%,1.32%,4.92%,2.86%,8.34%,0.99%,0.56%,1.74%,1.53%,0.93%,2.51%
Illinois,Region 5,0.65%,0.39%,1.07%,5.55%,3.82%,8.01%,1.32%,0.86%,2.01%,1.90%,1.32%,2.72%
Illinois,Region 5a,*,*,*,6.07%,3.68%,9.85%,1.44%,0.83%,2.51%,2.07%,1.28%,3.34%
Illinois,Region 5b,*,*,*,5.15%,3.11%,8.41%,1.22%,0.70%,2.11%,1.76%,1.09%,2.83%
