State,Substate Region,12-17 Estimate,"12-17 
95% CI (Lower)","12-17 
95% CI (Upper)",18-25 Estimate,"18-25 
95% CI (Lower)","18-25 
95% CI (Upper)",26 or Older Estimate,26 or Older 95% CI (Lower),26 or Older 95% CI (Upper),18 or Older Estimate,18 or Older 95% CI (Lower),18 or Older 95% CI (Upper)
South Dakota,South Dakota,0.55%,0.32%,0.95%,3.14%,2.22%,4.44%,0.66%,0.42%,1.03%,1.02%,0.72%,1.45%
South Dakota,Region 1,0.59%,0.30%,1.14%,4.37%,2.58%,7.33%,0.89%,0.49%,1.63%,1.39%,0.84%,2.29%
South Dakota,Region 2,*,*,*,*,*,*,0.73%,0.35%,1.50%,0.99%,0.52%,1.89%
South Dakota,Region 3,0.57%,0.29%,1.09%,3.02%,1.70%,5.31%,0.56%,0.30%,1.06%,0.97%,0.57%,1.64%
South Dakota,Region 4,*,*,*,2.93%,1.59%,5.35%,0.58%,0.29%,1.12%,0.95%,0.54%,1.68%
South Dakota,Region 5,0.46%,0.24%,0.89%,2.43%,1.38%,4.24%,0.54%,0.29%,1.02%,0.80%,0.47%,1.36%
Tennessee,Tennessee,0.48%,0.30%,0.76%,4.20%,3.14%,5.61%,1.15%,0.80%,1.66%,1.58%,1.17%,2.12%
Tennessee,Region 1,*,*,*,4.11%,2.35%,7.09%,0.88%,0.47%,1.65%,1.28%,0.74%,2.21%
Tennessee,Region 2,*,*,*,3.81%,2.16%,6.63%,0.80%,0.44%,1.47%,1.20%,0.71%,2.02%
Tennessee,Region 3,*,*,*,4.31%,2.50%,7.33%,1.04%,0.57%,1.92%,1.48%,0.87%,2.51%
Tennessee,Region 4 (Davidson),*,*,*,*,*,*,1.74%,0.96%,3.13%,2.44%,1.44%,4.10%
Tennessee,Region 5,0.54%,0.30%,0.96%,4.76%,2.98%,7.51%,1.27%,0.75%,2.16%,1.76%,1.12%,2.76%
Tennessee,Region 6,*,*,*,3.29%,1.82%,5.88%,1.15%,0.61%,2.16%,1.46%,0.82%,2.57%
Tennessee,Region 7 (Shelby),*,*,*,2.81%,1.56%,4.99%,1.29%,0.68%,2.45%,1.54%,0.86%,2.72%
Texas,Texas,0.67%,0.46%,0.96%,4.40%,3.67%,5.27%,0.95%,0.74%,1.23%,1.49%,1.24%,1.78%
Texas,Region 1,*,*,*,4.77%,2.73%,8.22%,1.00%,0.55%,1.79%,1.65%,0.98%,2.75%
Texas,Region 2,*,*,*,4.80%,2.72%,8.34%,0.90%,0.49%,1.64%,1.51%,0.89%,2.55%
Texas,Region 3,0.52%,0.34%,0.81%,3.75%,2.74%,5.12%,0.88%,0.61%,1.27%,1.30%,0.97%,1.73%
Texas,Region 3a,0.49%,0.30%,0.82%,3.58%,2.41%,5.28%,0.87%,0.55%,1.38%,1.27%,0.88%,1.82%
Texas,Region 3bc,0.58%,0.34%,0.97%,4.07%,2.57%,6.37%,0.89%,0.53%,1.48%,1.35%,0.88%,2.07%
Texas,Region 4,*,*,*,4.15%,2.52%,6.76%,0.90%,0.51%,1.59%,1.35%,0.83%,2.18%
Texas,Region 5,*,*,*,3.87%,2.26%,6.56%,0.99%,0.54%,1.80%,1.41%,0.84%,2.36%
Texas,Region 6,0.52%,0.32%,0.84%,4.52%,3.24%,6.27%,0.88%,0.59%,1.31%,1.43%,1.05%,1.94%
Texas,Region 6a,0.52%,0.31%,0.86%,4.43%,3.07%,6.33%,0.87%,0.56%,1.34%,1.41%,1.01%,1.97%
Texas,Region 6bc,*,*,*,5.40%,3.12%,9.20%,0.99%,0.54%,1.82%,1.60%,0.94%,2.70%
Texas,Region 7,0.64%,0.41%,1.00%,6.82%,4.97%,9.28%,1.35%,0.91%,1.99%,2.29%,1.69%,3.09%
Texas,Region 7a,0.70%,0.42%,1.17%,7.67%,5.15%,11.26%,1.37%,0.85%,2.21%,2.34%,1.60%,3.41%
Texas,Region 7bcd,0.52%,0.31%,0.89%,5.69%,3.55%,8.99%,1.29%,0.75%,2.21%,2.19%,1.41%,3.39%
Texas,Region 8,0.74%,0.45%,1.23%,3.28%,2.05%,5.22%,0.87%,0.52%,1.45%,1.24%,0.81%,1.91%
Texas,Region 9,*,*,*,*,*,*,1.36%,0.72%,2.56%,2.33%,1.37%,3.93%
Texas,Region 10,*,*,*,3.51%,2.02%,6.04%,1.01%,0.55%,1.86%,1.45%,0.86%,2.44%
Texas,Region 11,1.27%,0.74%,2.18%,3.09%,2.02%,4.71%,0.80%,0.49%,1.29%,1.19%,0.80%,1.78%
Texas,Region 11abd,1.15%,0.63%,2.07%,3.66%,2.18%,6.10%,0.85%,0.47%,1.52%,1.32%,0.80%,2.15%
Texas,Region 11c (Hidalgo),1.47%,0.79%,2.70%,2.18%,1.20%,3.92%,0.71%,0.38%,1.34%,0.97%,0.56%,1.70%
Utah,Utah,0.54%,0.28%,1.04%,2.79%,1.92%,4.02%,0.64%,0.40%,1.02%,1.03%,0.72%,1.48%
Utah,"Bear River, Northeastern, Summit, Tooele, and Wasatch",*,*,*,*,*,*,0.58%,0.28%,1.19%,0.90%,0.48%,1.68%
Utah,"Central, Four Corners, San Juan, and Southwest",*,*,*,2.17%,1.25%,3.76%,0.60%,0.32%,1.12%,0.88%,0.51%,1.50%
Utah,"Central, Four Corners, and San Juan",*,*,*,*,*,*,*,*,*,*,*,*
Utah,Southwest,*,*,*,*,*,*,*,*,*,0.90%,0.47%,1.72%
Utah,Davis County,*,*,*,*,*,*,0.57%,0.27%,1.19%,0.87%,0.46%,1.64%
Utah,Salt Lake County,0.48%,0.23%,1.01%,3.84%,2.37%,6.16%,0.75%,0.43%,1.31%,1.25%,0.80%,1.95%
Utah,Utah County,0.59%,0.28%,1.25%,2.26%,1.20%,4.24%,0.54%,0.28%,1.07%,0.97%,0.55%,1.73%
Utah,"Weber, Morgan",*,*,*,2.24%,1.15%,4.33%,0.55%,0.27%,1.09%,0.83%,0.45%,1.52%
Vermont,Vermont,1.14%,0.73%,1.78%,10.68%,8.43%,13.45%,1.91%,1.42%,2.58%,3.22%,2.59%,4.00%
Vermont,Champlain Valley,1.07%,0.60%,1.87%,12.87%,9.54%,17.15%,2.16%,1.45%,3.20%,4.02%,3.04%,5.31%
Vermont,Rural Northeast,1.20%,0.68%,2.08%,*,*,*,2.17%,1.31%,3.57%,3.28%,2.16%,4.96%
Vermont,Rural Southeast,1.23%,0.70%,2.15%,*,*,*,1.35%,0.79%,2.30%,2.03%,1.28%,3.22%
Vermont,Rural Southwest,1.13%,0.64%,1.98%,*,*,*,1.68%,0.99%,2.84%,2.62%,1.65%,4.12%
Virginia,Virginia,0.40%,0.25%,0.63%,4.03%,3.16%,5.14%,1.12%,0.81%,1.55%,1.53%,1.19%,1.97%
Virginia,Region 1,0.51%,0.29%,0.91%,3.48%,2.13%,5.65%,0.91%,0.53%,1.57%,1.31%,0.82%,2.09%
Virginia,Region 2,0.36%,0.19%,0.67%,3.40%,2.12%,5.39%,0.81%,0.48%,1.37%,1.12%,0.72%,1.73%
Virginia,Region 3,0.50%,0.28%,0.89%,4.58%,2.95%,7.04%,1.31%,0.78%,2.21%,1.79%,1.16%,2.75%
Virginia,Region 4,0.33%,0.18%,0.59%,4.26%,2.74%,6.57%,1.36%,0.81%,2.25%,1.77%,1.15%,2.72%
Virginia,Region 5,0.35%,0.19%,0.63%,4.47%,2.89%,6.85%,1.33%,0.79%,2.23%,1.82%,1.18%,2.80%
Washington,Washington,0.69%,0.43%,1.10%,5.54%,4.27%,7.15%,1.46%,1.04%,2.05%,2.02%,1.54%,2.65%
Washington,Region 1,0.82%,0.48%,1.39%,4.19%,2.76%,6.31%,1.23%,0.76%,2.00%,1.70%,1.13%,2.56%
Washington,Greater Columbia and North Central,0.86%,0.48%,1.55%,3.81%,2.22%,6.46%,1.15%,0.62%,2.10%,1.60%,0.95%,2.69%
Washington,Spokane,*,*,*,4.85%,2.74%,8.46%,1.34%,0.71%,2.52%,1.84%,1.06%,3.19%
Washington,Region 2,0.59%,0.35%,0.99%,6.68%,4.77%,9.26%,1.72%,1.16%,2.55%,2.36%,1.70%,3.26%
Washington,King,0.50%,0.27%,0.93%,8.11%,5.43%,11.94%,2.16%,1.39%,3.32%,2.90%,2.00%,4.18%
Washington,North Sound,*,*,*,4.34%,2.53%,7.34%,0.94%,0.51%,1.71%,1.40%,0.83%,2.35%
Washington,Region 3,0.74%,0.45%,1.22%,5.03%,3.56%,7.08%,1.24%,0.81%,1.90%,1.76%,1.23%,2.50%
Washington,Pierce,*,*,*,4.51%,2.69%,7.47%,1.24%,0.70%,2.20%,1.72%,1.05%,2.81%
Washington,Salish,*,*,*,*,*,*,*,*,*,1.86%,1.06%,3.26%
Washington,SW WA and Great Rivers,*,*,*,5.35%,3.13%,9.01%,1.26%,0.68%,2.31%,1.79%,1.05%,3.02%
Washington,Thurston-Mason,*,*,*,*,*,*,*,*,*,*,*,*
West Virginia,West Virginia,0.61%,0.37%,1.00%,4.61%,3.43%,6.16%,0.90%,0.60%,1.35%,1.38%,1.01%,1.88%
West Virginia,Region I,*,*,*,*,*,*,0.85%,0.42%,1.70%,1.35%,0.74%,2.46%
West Virginia,Region II,*,*,*,3.16%,1.71%,5.78%,0.77%,0.40%,1.47%,1.08%,0.61%,1.92%
West Virginia,Region III,*,*,*,3.54%,1.91%,6.45%,0.76%,0.38%,1.53%,1.07%,0.58%,1.98%
West Virginia,Region IV,0.66%,0.36%,1.22%,6.76%,4.38%,10.30%,1.22%,0.70%,2.11%,2.15%,1.41%,3.27%
West Virginia,Region V,0.58%,0.32%,1.07%,3.74%,2.24%,6.19%,0.76%,0.42%,1.39%,1.12%,0.67%,1.85%
West Virginia,Region VI,0.63%,0.34%,1.16%,3.71%,2.18%,6.23%,0.94%,0.51%,1.75%,1.26%,0.74%,2.13%
Wisconsin,Wisconsin,0.74%,0.46%,1.17%,4.51%,3.41%,5.93%,1.08%,0.75%,1.55%,1.57%,1.18%,2.07%
Wisconsin,Milwaukee,*,*,*,3.52%,2.07%,5.93%,1.46%,0.81%,2.61%,1.80%,1.07%,3.00%
Wisconsin,Northeastern,0.81%,0.44%,1.47%,3.63%,2.11%,6.18%,0.84%,0.45%,1.57%,1.21%,0.71%,2.04%
Wisconsin,Northern,*,*,*,4.43%,2.40%,8.02%,0.93%,0.48%,1.81%,1.37%,0.77%,2.44%
Wisconsin,Southeastern,0.91%,0.51%,1.65%,5.55%,3.34%,9.08%,1.20%,0.67%,2.15%,1.79%,1.09%,2.91%
Wisconsin,Southern,0.73%,0.41%,1.31%,5.70%,3.66%,8.78%,1.07%,0.63%,1.83%,1.73%,1.13%,2.64%
Wisconsin,Western,*,*,*,4.05%,2.38%,6.81%,0.94%,0.51%,1.72%,1.42%,0.85%,2.35%
Wyoming,Wyoming,0.83%,0.51%,1.33%,4.79%,3.52%,6.49%,0.83%,0.56%,1.23%,1.40%,1.04%,1.89%
Wyoming,Judicial District 1 (Laramie),*,*,*,4.92%,2.78%,8.56%,0.80%,0.43%,1.46%,1.35%,0.79%,2.27%
Wyoming,Judicial District 2,*,*,*,4.42%,2.61%,7.40%,1.02%,0.56%,1.85%,1.93%,1.19%,3.11%
Wyoming,Judicial District 3,0.87%,0.48%,1.58%,4.23%,2.35%,7.49%,0.78%,0.41%,1.48%,1.26%,0.73%,2.17%
Wyoming,Judicial District 4,*,*,*,*,*,*,*,*,*,1.17%,0.64%,2.12%
Wyoming,Judicial District 5,*,*,*,*,*,*,0.64%,0.33%,1.25%,1.09%,0.61%,1.93%
Wyoming,Judicial District 6,*,*,*,4.54%,2.58%,7.86%,0.80%,0.43%,1.47%,1.31%,0.78%,2.21%
Wyoming,Judicial District 7 (Natrona),0.84%,0.46%,1.52%,*,*,*,0.90%,0.50%,1.63%,1.63%,0.99%,2.68%
Wyoming,Judicial District 8,*,*,*,*,*,*,*,*,*,1.08%,0.60%,1.94%
Wyoming,Judicial District 9,*,*,*,4.99%,2.75%,8.90%,1.11%,0.61%,2.01%,1.58%,0.93%,2.68%
